date,5days,6days,gakuennso,tokyo
2015/12/1/(火),36900,40900,8100,9100
2015/12/2/(水),36900,40900,8100,9100
2015/12/3/(木),36900,40900,8100,9100
2015/12/4/(金),36900,40900,8100,9100
2015/12/5/(土),36900,40900,9100,9100
2015/12/6/(日),36900,40900,8100,9100
2015/12/7/(月),36900,40900,8100,9100
2015/12/8/(火),36900,40900,8100,9100
2015/12/9/(水),36900,40900,8100,9100
2015/12/10/(木),36900,40900,8100,9100
2015/12/11/(金),36900,40900,8100,9100
2015/12/12/(土),36900,40900,9100,9100
2015/12/13/(日),36900,40900,8100,9100
2015/12/14/(月),36900,40900,8100,9100
2015/12/15/(火),36900,40900,8100,9100
2015/12/16/(水),36900,40900,8100,9100
2015/12/17/(木),36900,40900,8100,9100
2015/12/18/(金),36900,40900,8100,9100
2015/12/19/(土),36900,40900,9100,9100
2015/12/20/(日),36900,40900,8100,9100
2015/12/21/(月),36900,40900,8100,9100
2015/12/22/(火),36900,40900,8100,9100
2015/12/23/(水),36900,40900,8100,9100
2015/12/24/(木),36900,40900,8100,9100
2015/12/25/(金),37900,41900,8100,9100
2015/12/26/(土),37900,41900,9200,9100
2015/12/27/(日),37900,41900,9200,9100
2015/12/28/(月),37900,41900,9200,9100
2015/12/29/(火),38900,42900,9200,9100
2015/12/30/(水),40900,44900,9800,9100
2015/12/31/(木),40900,44900,9800,9100
2016/1/1/(金),39900,43900,9800,9100
2016/1/2/(土),36900,40900,9800,9100
2016/1/3/(日),36900,40900,8100,9100
2016/1/4/(月),36900,40900,8100,9100
2016/1/5/(火),36900,40900,8100,9100
2016/1/6/(水),36900,40900,8100,9100
2016/1/7/(木),36900,40900,8100,9100
2016/1/8/(金),37900,41900,8100,9100
2016/1/9/(土),37900,41900,9100,9100
2016/1/10/(日),36900,40900,9100,9100
2016/1/11/(月),36900,40900,8100,9100
2016/1/12/(火),36900,40900,8100,9100
2016/1/13/(水),36900,40900,8100,9100
2016/1/14/(木),36900,40900,8100,9100
2016/1/15/(金),36900,40900,8100,9100
2016/1/16/(土),36900,40900,9100,9100
2016/1/17/(日),36900,40900,8100,9100
2016/1/18/(月),36900,40900,8100,9100
2016/1/19/(火),36900,40900,8100,9100
2016/1/20/(水),36900,40900,8100,9100
2016/1/21/(木),36900,40900,8100,9100
2016/1/22/(金),36900,40900,8100,9100
2016/1/23/(土),36900,40900,9100,9100
2016/1/24/(日),36900,40900,8100,9100
2016/1/25/(月),36900,40900,8100,9100
2016/1/26/(火),36900,40900,8100,9100
2016/1/27/(水),36900,40900,8100,9100
2016/1/28/(木),36900,40900,8100,9100
2016/1/29/(金),36900,40900,8100,9100
2016/1/30/(土),36900,40900,9100,9100
2016/1/31/(日),36900,40900,8100,9100
2016/2/1/(月),53900,57900,8100,9100
2016/2/2/(火),53900,57900,8100,9100
2016/2/3/(水),53900,57900,8100,9100
2016/2/4/(木),53900,57900,8100,9100
2016/2/5/(金),53900,57900,8100,9100
2016/2/6/(土),53900,57900,9100,9100
2016/2/7/(日),53900,57900,8100,9100
2016/2/8/(月),53900,57900,8100,9100
2016/2/9/(火),53900,57900,8100,9100
2016/2/10/(水),53900,57900,8100,9100
2016/2/11/(木),36900,40900,8100,9100
2016/2/12/(金),36900,40900,8100,9100
2016/2/13/(土),36900,40900,9100,9100
2016/2/14/(日),36900,40900,8100,9100
2016/2/15/(月),36900,40900,8100,9100
2016/2/16/(火),36900,40900,8100,9100
2016/2/17/(水),36900,40900,8100,9100
2016/2/18/(木),36900,40900,8100,9100
2016/2/19/(金),36900,40900,8100,9100
2016/2/20/(土),36900,40900,9100,9100
2016/2/21/(日),36900,40900,8100,9100
2016/2/22/(月),36900,40900,8100,9100
2016/2/23/(火),36900,40900,8100,9100
2016/2/24/(水),36900,40900,8100,9100
2016/2/25/(木),36900,40900,8100,9100
2016/2/26/(金),36900,40900,8100,9100
2016/2/27/(土),36900,40900,9100,9100
2016/2/28/(日),36900,40900,8100,9100
2016/2/29/(月),36900,40900,8100,9100
2016/3/1/(火),36900,40900,8100,9100
2016/3/2/(水),36900,40900,8100,9100
2016/3/3/(木),36900,40900,8100,9100
2016/3/4/(金),36900,40900,8100,9100
2016/3/5/(土),36900,40900,9100,9100
2016/3/6/(日),36900,40900,8100,9100
2016/3/7/(月),36900,40900,8100,9100
2016/3/8/(火),36900,40900,8100,9100
2016/3/9/(水),36900,40900,8100,9100
2016/3/10/(木),36900,40900,8100,9100
2016/3/11/(金),36900,40900,8100,9100
2016/3/12/(土),36900,40900,9100,9100
2016/3/13/(日),36900,40900,8100,9100
2016/3/14/(月),36900,40900,8100,9100
2016/3/15/(火),36900,40900,8100,9100
2016/3/16/(水),36900,40900,8100,9100
2016/3/17/(木),36900,40900,8100,9100
2016/3/18/(金),37900,41900,8100,9100
2016/3/19/(土),37900,41900,9100,9100
2016/3/20/(日),36900,40900,9100,9100
2016/3/21/(月),36900,40900,8100,9100
2016/3/22/(火),36900,40900,8100,9100
2016/3/23/(水),36900,40900,8100,9100
2016/3/24/(木),36900,40900,8100,9100
2016/3/25/(金),36900,40900,8100,9100
2016/3/26/(土),36900,40900,9100,9100
2016/3/27/(日),36900,40900,8100,9100
2016/3/28/(月),36900,40900,8100,9100
2016/3/29/(火),36900,40900,8100,9100
2016/3/30/(水),36900,40900,8100,9100
2016/3/31/(木),36900,40900,8100,9100
2016/4/1/(金),36900,40900,8100,9100
2016/4/2/(土),36900,40900,9100,9100
2016/4/3/(日),36900,40900,8100,9100
2016/4/4/(月),36900,40900,8100,9100
2016/4/5/(火),36900,40900,8100,9100
2016/4/6/(水),36900,40900,8100,9100
2016/4/7/(木),36900,40900,8100,9100
2016/4/8/(金),36900,40900,8100,9100
2016/4/9/(土),36900,40900,9100,9100
2016/4/10/(日),36900,40900,8100,9100
2016/4/11/(月),36900,40900,8100,9100
2016/4/12/(火),36900,40900,8100,9100
2016/4/13/(水),36900,40900,8100,9100
2016/4/14/(木),36900,40900,8100,9100
2016/4/15/(金),36900,40900,8100,9100
2016/4/16/(土),36900,40900,9100,9100
2016/4/17/(日),36900,40900,8100,9100
2016/4/18/(月),36900,40900,8100,9100
2016/4/19/(火),36900,40900,8100,9100
2016/4/20/(水),36900,40900,8100,9100
2016/4/21/(木),36900,40900,8100,9100
2016/4/22/(金),36900,40900,8100,9100
2016/4/23/(土),36900,40900,9100,9100
2016/4/24/(日),36900,40900,8100,9100
2016/4/25/(月),36900,40900,8100,9100
2016/4/26/(火),35900,39900,8100,9100
2016/4/27/(水),35900,39900,8100,9100
2016/4/28/(木),37900,41900,8100,9100
2016/4/29/(金),37900,41900,8100,9100
2016/4/30/(土),37900,41900,9100,9100
2016/5/1/(日),37900,41900,9100,9100
2016/5/2/(月),37900,41900,9100,9100
2016/5/3/(火),37900,41900,9100,9100
2016/5/4/(水),37900,41900,9100,9100
2016/5/5/(木),37900,41900,9100,9100
2016/5/6/(金),36900,40900,9100,9100
2016/5/7/(土),36900,40900,9100,9100
2016/5/8/(日),36900,40900,8100,9100
